judul	bahan	langkah
tuna steak garlic butter	daging ikan tuna, lada, olive oil, thyme kering, rossemarry kering, cubit garam, bawang putih, cincang, buah lemon, ambil air, butter, kaldu jamur, rossemarry segar opsional, kentang goreng, mix vegetables buncis, wortel amp jagung	siap bahan nya. marinasi potong ikan bumbu marinasi siap bawang putih cincang. lemon butter. panas wajan masukaan ikan tuna warna ubah jgn tekan yaa. tambah butter. ikan pinggir ya tumis bawang putih harum. masuk rossemarry air lemon tambah air kaldu jamur aduk. masak bumbu resap pisah ikan saus nya warna yg cantik ikan pan dihidangkanhappy cooking
gulai ikan emas endesss	ekor ikan emas, buah jeruk nipis, bungkus santan instan, batang serai, geprek, lembar daun salam, lembar daun jeruk, sobek sobek, keping asam gelugur, cabe merah buang biji, cabe rawit merah, bawang merah, bawang putih, ruas kunyit, ruas jahe, ruas lengkuas, garam, kaldu jamur, air, minyak goreng	sih kotor ikan. buang sisik ikan. cuci bersih. kucur jeruk nipis diam menit. bilas cuci bersih. pand. masuk bumbu cemplung bumbu halus. minyak goreng. tumis bumbu wangi matang. masuk ikan. air masuk santan. garam kaldu jamur aduk biar ikan matang. koreksi enak pas. angkat pindah piring saji selamat coba yaa. moga manfaat
ikan teri masak pare	gram ikan teri, cuci, goreng kering, buah pare, air rendam pare, buah tomat, potong kotak, buah cabai merah keriting, potong potong, batang bawang daun, potong potong, bawang merah, iris tipis, bawang putih, iris tipis, gula pasir, kaldu jamur koken, air	cuci pare. potong potong. lumur garam. air. diam menit bilas pare. tiris. tumis bawang merah bawang putih harum masuk bawang daun. cabai tomat. tumis layu masuk gula aduk sebentar. masuk pare. air kaldu jamur. masuk ikan teri. aduk tes angkat. saji
asem asem lele bungkus daun gas	buah lele ukur, buah tomat, bawang putih, bawang merah, buah cabe iris iris, buah cabe rawit utuh, garam, gula, sedap, bungkus santan, air, daun pisang, buah plastik putih, lidi	sih lele potong cuci bersih goreng lele kering iris bumbu bumbu. siap baskom tuang santan instan bumbu garam. gula. sedap air aduk kemodian koreksi potong lele goreng bungkus plastik. tambahakan iris bawang merah putih cabe. tomat biji cabe rawit kuah santan centong sayur ikat simpul plastik. ambil daun pisang bungkus bungkus lele daun pisang kukus menit matang angkat saji. pas gurih asin manis pedas yg suka pedas. . kl mo pedas nyeplus cabe
fuyunghai isi ikan tuna	tepung terigu, tepung sagu sypakai tepung tapioca, tepung k be bakwan, kaldu jamur, lada hitamlada putih, garam, telur sy telur, daun bawang, sayur kol, iris tipis, wortel, potong panjang, buah cabai hijau, iris tipis, buah tuna kaleng, buah cherry tomatoes, potong, saus tomat, bawang putih, geprek cincang, garam, kaldu jamur, lada hitamlada putih, tepung maizena larut dlm air	siap bahanbahannya. campur bahan tepung air. aduk masuk lada. garam. kaldu jamur tepung k be. masuk telur. aduk campur masuk wadah isi iris sayur tambah ikan tuna kaleng. aduk campur ya. panas minyak gorengpanggang matang. u saus tumis bawang putih cincang harum. masuk potong tomat. saus tomat air masak didih garam. lada. kaldu jamur larut tepung maizena mati kompor sisih. upenyajiannya siram gak ya alias ambil fuyunghai siram. pas makan tambah acar bikin
ikan kembung suwir jagung	bawang merah iris, bawang putih iris, buah cabai merah keriting iris, lembar daun jeruk, iris, potong gram ikan kembung goreng, buah jagung manis rebus, pipil, saos tiram, kecap manis, garam, merica, air, buah jeruk lemon, minyak goreng	pisah ikan tulang duri suwir suwir ikan. panas wajan. tuang minyak. tumis bawang wangi masuk cabai daun jeruk. aduk. masuk ikan jagung. aduk bubuh saos tiram kecap manis tambah garam merica aduk. tambah air. aduk air ering. resi jeruk lemon. aduk saji
tongkol suwir asam manis	ekor ikan tongkol kukus, buah bawang merah, cincang kasar, bawang putih, cincang halus, buah tomat, potong tipis, air, batang daun bawang, potong kasar, minyak goreng, tum, saos tomat, kecap manis, kecap asin, saos tiram, garam, gula pasir, merica bubuk, kaldu jamur	buang kepala duri ikan tongkol. suwir kasar ikan tongkol. panas minyak. tumis bawang merah bawang putih cincang harum tambah potong tomat. tumis layu. masuk tongkol suwir. aduk bumbu tambah air. masuk bahan saos. aduk bumbu bumbu sedap lupa koreksi. bumbu resap. tambah iris daun bawang aduk. saji hangat
ikan kembung bakar bumbu jimbaran	ikan kembung isi ekor, siang amp kerat sisi, cuka apel, mata asam jawa, minyak goreng, saos tiram, kecap manis, garam amp gula, bawang putih, bawang merah, ketumbar bubuk, kemiri, sangrai, ruas jari lengkuas, buah cabai merah sesuai ya	lumur ikan cuka apel. diam menit. tumis bumbu halus harum matang masuk kecap manis. saos tiram. asam jawa. garam gula aduk tuang air kering lupa tes ya mati api tunggu bumbu hangat. lumur ikan bumbu rata diam menit. bakarpanggang atas bara apiteflon matang panggang air fryer praktis suhu c menit. ikan lanjut panggang menit angkat saji sambal kecapsambal favorit
nasi tim ikan dor brokoli mpasi	beras cuci bersih, gram ikan dor fillet, gram kuntum brokoli cincang kasar, saus tiram, air, bawang putih cincang halus, bawang merah cincang halus, mentega	panas mentega tumis bawang merah bawang putih harum. masuk ikan dor giling masak ubah warna. masuk beras. tuang saus tiram tumis harum. tuang air. masak matang. tambah brokoli. masak matang. angkat. saji hangat
ikan kembung masak tauco	ekor ikan kembung, jeruk nipis, bks keciltauco, bawang merah, bawang putih, tomat, daun bawang, cabe rawit merah sesuai selera, cabe merah keriting, daun salam, sereh, geprek, gula, garam, kaldu jamur	sih ikan kembung. cuci bersih air alir. kucur jeruk nipis. diam menit. bilas bersih. goreng ikan matang. sisih. tumis bawang putih. bawang merah. cabe merah cabe rawit harum tambah daun salam sereh masuk tauco wadah mangkok kasi air panas. lumat. masuk tauco tumis tunggu didih. garamgula. kaldu jamur hati guna garam ya krn tauco yg asin sdh kuat. masuk ikan kembung yg goreng tumis tauco. biar ikan satu tauco masuk potong tomat daun bawang koreksi. saji
oseng gereh besek	kotak gereh besek ikan pindang, minyak goreng, bawang merah, bawang putih, cabai keriting merah, cabai keriting hijau, cabai rawit putih opsional, tomat hijau, helai daun jeruk, helai daun salam, sereh iris, iris lengkuas, garam, gula, sedap, kecap manis	goreng ikan matang kering. tumis bawang. cabai. tomat wangi tambah seasoning aromatik masak sebentar kecap kental. masuk ikan goreng campur rata. oseng gereh saji
balado ikan patin	ikan patin potong, ons cabe campur, biji tomat, bawang putih, biji bawang merah, garam, gula pasir, kaldu bubuk, minyak goreng, air	keluar ikan frezzer biar sampe suhu ruang goreng. rebus bumbu balado sampe mateng halus tumis sampe wangi. garam gula kaldu bubuk. masuk ikan patin goreng air cek saji
pesmol ikan	bawang putih, merah, tomat, biji kemiri belah, lada, ketumbar, buku jari kunyit, buku jari jahe, royco, gula putih, garam, pecin, daun salam, sereh geprek, cengek domba	ikan cuci bersih. marinasi pakai garam. marinasi. ikan goreng matang. bumbu bumbu sebut blender halus. panas minyak. tumis bumbu harum. masuk daun salam sereh geprek. bumbu matang. kasih air. kasih royco. gula putih. garam. pecin sesuai selera icip icip. masuk ikan goreng. tunggu air nya susut matang. hidang nasi panas tambah kerupuk
gulai ikan tongkol	ekor ikan tongkol segar potong, buah jeruk nipis, jempol lengkuas, batang sereh, lembar daun salam, bungkus santan, daun kemangi, garam gula kaldu jamur, air, bawang merah, bawang putih, buah cabe merah kriting, buah cabe rawit merah, ketumbar, kemiri matang, ruas jahe, telunjuk kunyit	cuci bersih ikan tongkol kucur jeniper diam menit cuci bersih goreng ikan tongkol matang angkat tiris. tumis bumbu halus harum matang masuk salam sereh lengkuas aduk masuk air. garam gula kaldu jamur masak air didih. air didih masuk ikan aduk perlahan masak bumbu serap masuk santan. masuk daun kemangi aduk perlahan masak sebentar jgn lupa icip. gulai ikan tongkol ala rumah hidang selamat coba happy cooking
ikan baronang goreng simple	gram ikan baronang, bumbu dasar putih, kunyit bubuk, ketumbar bubuk, kaldu bubuk, garam, lada bubuk, buah jeruk nipis, buah jeruk sambal, buah tomat goreng, buah cabe rawit goreng, terasi goreng, gula merah, garam	sih ikan. cuci jeruk nipis bilas. bumbu marinasi. aduk. biar menit kulkas. goreng minyak panas matang. halus tomat cabe goreng. gula garam terasi goreng tes cek sesuai selera jeruk sambal. aduk. saji ikan baronang goreng sambal terasi selamat coba
bekal kerja nasi ikan cue	ikan cue ukur, cabe rawit, cabe bawang merah ukur, bawang putih, gula, garam, royco	sih ikan cue buang duri cuci bersih iris bawang cabe panas minyak. masuk ikan cue goreng kering masuk cabe bawang masak sebentar gula garam. tambah royco tes bekal kerja suami
pepes ikan selar basah	ikan selar, bawang merah, bawang putih, buah cabai rawit, buah cabai merah kriting, ruas jari kunyit, kemiri, ruas jari jahe, garam, micin, minyak goreng, sereh, salam, daun kemangi	cuci bersih ikan lumur jeruk nipis diam menit bilas tiris halus bumbu halus blender tuang ikan masuk kemangi aduk rata. ambil ikan leta daun pisang lembar daun salam sereh geprek bungkus kunci ujung tusuk gigilidi laku selesai. siap alat bakar me genteng panas atas kompor api taruh pepes bolak matang. saji nasi hangat
nasi pecel komplit	lembar kol, buah wortel, lonjor kacang, tauge, gram kacang tanah goreng, buah cabai rawit merah, lembar daun jeruk buang tulang, bawang putih, kencur, keping gula merah, garam halus, air, gula pasir, mendoan, goreng, telur krispi	rebus kol. tauge. kacang. wortel satu. goreng cabai. kencur. bawang putih. daun jeruk layu blende kacang tanah. air. gula merah. asam jawa. garam halus. gula pasir. goreng tempe mendoan kuning emas angkat tiris. goreng kuning angkat tiris. telur krispi. tata nasi piring. sayur. mendoan. goreng. telur krispi siram sayur sambal pecel saji
nasi gorenggorengan bekas kuali sambal	sisa sambal kuali, mixed vegetable, porsi nasi putih dingin, telur rebusmata sapi	bekas sisa sambal kuali. siap sendok mixed vegetable nasi. panas bentar. masak kecuali masak telur mentah versi orek sambal asa. gak kecuali selamat makan
nasi pecel madiun	bayam, toge, kerupuk melarat, garam, bumbu pecel madiun	pitili bayam akar toge pitili tuh bahasa indonesia. dah dadak hilang diksi wkakaka. cuci bersih sayur bawa air alir. panas air blubub blubub. ambil bumbu pecel larut air didih biar gampang larut aduk kental pas. sisa air. pakai rebus sayur kasih garam biar gurih. saji kerupuk melarat suka sih gendar. males goreng wkakakakak habis si si sulung si bungsu nggak ahaha cedih
nasi pindang khas kudus	daging sengkel, air, santan instan, genggam daun melinjo, lembar daun salam, batang sereh, lengkuas, lembar daun jeruk, air asam jawa, keping gula merah, gula pasir, garam, kaldu bubuk, bawang merah, bawang putih, kemiri, lada, ketumbar, jinten, terasi, kluwek, telur pindang, kerupuk udang, sambel, bawang goreng, jeruk nipis	rebus daging daun salam. daun jeruk. sereh lengkuas siap bumbu halus. tumis bumbu harum tanak. masuk rebus daging. daging potong sesuai selera. masuk kuah rebus tambah gula kaldu santan masak didih. koreksi. siap bahan lengkap. simak resep semat saji susun nasi. potong daging. telur pindang. daun melinjo kerupuk siram kuah. saji selagi hangat. tambah peras jeruk nipis sesuai selera
liwet nasi sisa	nasi sisa, air masak bumbu, minyak tum, bawang merah, bawang putih, buah cabe merah biji sesuai selera, udang rebon goreng, batang serai, lengkoas, jahe, garam sesuai, kaldu bubuk	siap nasi sisa nasi sisa kemarin rice cooker nasi sisa paket ayam goreng yg simpan kulkas. tumis iris bawang merah bawang putih sampe layulalu masuk cabe merah iris. jahe geprek lengkoas geprek aduk cabe layu bumbu harum tambah daun salam serai geprek tambah air. tambah garam kaldu bubuk aduk lanjut masak air yg sisa tinggal mati api. tambah nasi rebon goreng. aduk cicip sesuai asin selera tahap nasi enak harum lanjut aduk nasi panas goreng. kukus lanjut rice cooker. panas nasi liwet rice cooker pindah panci rice cooker tekan on tunggu panas ssmpai nasi liiwetnya panas. jam. mudah tinggal. pindah wadah saji hidang lauk pauk yg sesuai
nasi goreng jawa uleg	telur, garam, kaldu bubuk, piring nasi putih, buah bawang merah, bawang putih, buah cabai rawit, buah cabai merah keriting, ketumbar, buah terasi kemas, garam, kaldu bubuk, minyak goreng, ayam goreng, suwir	telur dadar ceplok telur bumbu garam kaldu bubuk panas wajan. oles minyak tipis tipis dadar telur tipis gulung potong sisih. halus ketumbar garam halus rata. halus bawang merah. bawang putih. terasi. cabai rawit cabai merah keriting halus. panas minyak. tumis bumbu halus harum matang. masuk nasi putih aduk bumbu garam kaldu bubuk aduk. masuk ayam goreng suwir aduk koreksi. saji
nasi ulam betawi	liter beras pulen, lembar daun salam, batang sereh geprek, ruas lengkuas geprek, garam, air, buah cabe merah, bawang merah, bawang putih, ketumbar bubuk, ebi, kunyit bubuk, ruas jempol kencur, jintan, kelapa tua parut, minyak goreng, lembar daun salam, batang sereh, ruas lengkuas geprek, gula pasir, gula merah, garam, micin optional, telur baladoayam gorengtelur dadar, tempe orek, mentimun, toge pendek, bawang goreng, kerupuk, kemangi	beras cuci bersih tambah daun salam serai lengkuas garam air aduk masak masak nasi magic com takar air masak nasi. siap bumbu cuci bersih ebi rendam air panas sebentar halus. blender tambah air. panas minyak goreng. masuk bumbu halus tambah sereh daun salam lengkuas aduk tambah garam gula micin masak matang. masuk kelapa gula merah aduk campur. masak api kadar santan kurang lembab kering aduk matang rata gosong. cuci bersih mentimun potong dadu. cuci bersih toge pendek seduh air panas diam menit tiris saji nasi ulam lauk lengkap
